opioid,period,cause,rate,lower,upper
TRUE,2001,liver,87.52245676,51.6463212,123.3985923
TRUE,2004,liver,103.2467015,71.63183988,134.8615631
TRUE,2007,liver,150.1809034,113.6693601,186.6924466
TRUE,2010,liver,183.7309779,143.3889393,224.0730165
TRUE,2013,liver,128.0448164,99.75408434,156.3355485
TRUE,2016,liver,109.7575396,85.27984233,134.2352369
FALSE,2001,external,20.22303775,11.87485476,28.57122073
FALSE,2004,external,26.65027947,18.02367146,35.27688748
FALSE,2007,external,23.92151112,16.68612811,31.15689413
FALSE,2010,external,23.00040252,16.43689524,29.5639098
FALSE,2013,external,22.09871654,15.9187593,28.27867379
FALSE,2016,external,17.88051659,12.7316135,23.02941967
TRUE,2001,external,150.6887395,107.8376065,193.5398726
TRUE,2004,external,145.7830899,109.5128302,182.0533496
TRUE,2007,external,138.2802644,106.4618994,170.0986294
TRUE,2010,external,131.7277068,102.5971909,160.8582226
TRUE,2013,external,146.2417119,115.1890386,177.2943852
TRUE,2016,external,145.7336055,114.5047538,176.9624571
