age,sex,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
57,Female,252961,258732,263664,266609,271266,272550,269019,256306,271936,298726,310309,316398,320433,394450,368517,343440,332692,320781,316732,321773,324671,320942,330779,342184,354134,361450,369030,384028,397127,406579
58,Female,253831,251542,257099,262207,265092,269864,271004,267642,255368,270607,297221,309339,313595,317850,393103,366326,341993,330503,319664,315336,320864,323702,320013,330065,341553,353502,360761,368173,382989,396216
59,Female,260345,252278,249885,255530,260635,263621,268315,269475,266214,254238,268963,295609,307145,310943,315084,392052,364308,339462,329157,318368,313823,319773,322756,319251,329452,340844,352731,359874,367324,381986
60,Female,267897,258639,250824,248442,253998,259052,262169,266663,267898,265140,253080,267531,293879,305567,307976,312190,390260,362052,337618,327312,316675,312505,318624,321833,318459,328625,339800,351781,358544,366126
61,Female,268395,265745,256816,249378,246933,252457,257324,260815,265146,266632,263308,251092,266104,291714,303218,305118,309094,388991,359577,335600,325386,315394,311219,317563,320886,317509,327425,338594,350333,357059
62,Female,262587,265745,263251,254629,247481,245014,250424,255318,258997,263596,264302,261261,249041,264174,288963,301187,302122,306709,387596,356855,333606,324054,314075,310296,316537,319894,316438,325934,337054,348755
63,Female,259251,260067,263017,260730,252325,245580,243066,248501,253426,257499,261255,262255,259172,246583,261480,286313,298927,299700,304055,385971,354118,332007,322412,312890,309182,315340,318411,314964,324317,335386
64,Female,261240,256175,257300,260003,258158,250086,243639,241149,246602,251562,255386,258971,260116,256608,243389,259056,283472,297166,297082,301247,384299,352065,330282,321111,311631,307789,313838,317173,313302,322499
65,Female,263740,258019,252741,254256,256962,255206,247331,241272,238785,244724,249106,252817,256596,257408,253947,239404,256317,281382,295312,294307,298471,381771,349878,328417,319411,309826,305862,311698,315064,311180
66,Female,262204,260044,254447,249194,250871,253641,251975,244540,238906,236586,242048,246378,250095,253853,254647,250386,236384,254236,278878,293218,291390,296210,378959,347566,326023,317115,307558,303606,309565,312728
67,Female,263092,258092,256054,250632,245582,247319,250073,248604,241462,236304,233760,239294,243571,247029,250929,250638,246907,233900,251915,276125,291119,289020,293846,376261,345080,323663,314699,305321,301315,307096
68,Female,264264,258678,253899,252082,246848,241572,243698,246366,245155,238741,233764,230746,236453,240190,243716,246855,247313,244166,230955,249436,273312,288461,286391,291407,373075,342218,320988,312027,302725,298611
69,Female,273162,259290,253856,249537,247608,242482,237271,239747,242386,241713,235327,230254,227495,233058,236740,239544,243250,244341,241116,227872,246765,270519,285537,283737,288686,369534,339056,318141,308849,299612
70,Female,283820,267641,254083,248798,244571,242685,237743,232820,235507,238234,237667,231564,226520,223843,229606,232654,235768,239986,241103,237614,224580,243930,267383,282392,280593,285529,365647,335520,314691,305570
71,Female,292396,277712,261840,248259,243261,239166,237410,232896,228086,230938,233658,233264,227552,222455,220102,225405,228658,232127,236384,237622,234074,221681,240963,264255,278868,277161,282222,361374,331407,310759
72,Female,193821,284236,271065,255521,242345,237424,233525,231879,227654,223025,226189,228842,228546,223012,218024,215804,221345,224948,228237,232617,233950,230707,218554,237623,260621,275173,273288,278419,356503,326913
73,Female,183162,189324,275664,263899,248809,235765,231009,227495,225793,222224,217760,220842,223755,223402,218332,212889,211363,217371,220724,224061,228648,230113,226916,215200,233959,256594,270941,269150,274465,351223
74,Female,199370,177319,184623,266380,256335,241488,228871,224481,220957,219543,216486,212077,215255,218257,217989,212999,207868,207025,212990,216307,219707,224780,226063,222954,211367,229828,252244,266284,264760,269635
75,Female,208868,192495,171208,179513,256986,248272,233858,221842,217454,214033,213232,209988,206073,208975,212364,212073,207643,202862,202250,208420,211639,215264,220237,221716,218586,207192,225303,247270,261370,259589
76,Female,215894,200877,185147,164844,174116,246872,239778,225860,214072,209933,207174,206011,202998,199689,202453,206058,205861,202211,197424,197280,203522,206969,210433,215593,216751,213843,202640,220354,242170,255631
77,Female,209661,206852,191924,177474,158156,168083,236245,230975,217372,205827,202407,199666,198484,195637,192978,195544,199606,199723,196400,191777,191907,198479,201698,205375,210046,211436,208403,197340,215248,235837
78,Female,196488,199995,197451,183418,169726,150931,161813,225501,221489,208635,197746,194211,191623,190473,188111,185610,188565,192872,193105,190340,185870,186382,192659,196398,199604,204330,205418,202488,192062,208817
79,Female,183908,186594,190160,187452,174223,161261,143351,155537,213753,211413,199856,189164,185436,183124,182056,180128,178224,181420,185728,186313,183719,179843,180186,186945,190171,193603,197880,198782,196409,185581
80,Female,171948,173605,176457,179460,177218,164364,152266,135687,148973,201599,201564,189890,179684,176381,174306,173695,171865,170571,173619,178291,178937,176861,173125,174035,179925,183560,186809,190764,192105,188688
81,Female,162382,161203,162911,165411,168504,166146,154174,143368,127651,141843,189275,190366,179439,169897,166856,165370,164933,163266,162343,165651,170657,171335,169359,166352,166658,172776,176223,179345,183494,183889
82,Female,150693,151149,150243,151542,154317,157068,154850,143866,133760,119196,135058,177014,178445,168382,159937,157284,156001,155618,154342,154212,157406,162402,162876,161750,158386,159088,164821,168094,171612,174604
83,Female,138245,139163,139726,138873,140337,142643,144917,143626,132920,124012,110828,126376,164224,166052,157180,149971,147625,146302,146184,145236,145454,148827,153453,154501,152804,150163,150877,156290,159775,162505
84,Female,122526,126547,127590,127645,127428,128384,130684,133361,131650,121861,114229,102065,117521,151070,153724,145630,139452,137321,136314,136577,135633,136380,139334,144646,144622,143653,141149,141800,147538,149767
