exposure,ag,gender,svd_smk,svd_cvd,svd_drd,svd_oth,fu,total
TRUE,47,female,13,11,34,57,6990.340862423,115
FALSE,47,male,9,34,3,112,62996.9144421629,158
TRUE,47,male,28,33,109,168,18831.1375770021,338
FALSE,48,female,2,2,1,23,21518.1711156742,28
TRUE,48,female,9,12,39,63,6466.85284052019,123
FALSE,48,male,8,37,3,95,57673.6290212183,143
TRUE,48,male,25,24,122,172,17204.3258042437,343
FALSE,49,female,2,5,1,28,19734.4120465435,36
TRUE,49,female,16,2,25,46,5937.41546885695,89
FALSE,49,male,17,32,3,102,52176.7173169062,154
TRUE,49,male,21,34,89,167,15515.6386036961,311
FALSE,50,female,6,7,1,35,18097.0896646133,49
TRUE,50,female,14,16,17,62,5447.37303216975,109
FALSE,50,male,8,31,4,98,47243.537303217,141
TRUE,50,male,22,36,78,165,13952.6598220397,301
FALSE,51,female,1,4,1,25,16572.5749486653,31
TRUE,51,female,12,12,23,53,4952.06844626968,100
FALSE,51,male,17,31,2,86,42563.3210130048,136
TRUE,51,male,52,26,81,137,12355.8631074606,296
FALSE,52,female,2,6,0,32,15047.9644079398,40
TRUE,52,female,18,4,27,39,4484.02737850787,88
FALSE,52,male,15,31,0,67,38022.5297741273,113
TRUE,52,male,41,33,59,140,10954.8720054757,273
FALSE,53,female,0,6,4,24,13576.205338809,34
TRUE,53,female,15,10,14,49,3979.87405886379,88
FALSE,53,male,15,22,1,82,33386.4750171116,120
TRUE,53,male,33,30,25,133,9574.63107460643,221
FALSE,54,female,8,4,1,31,12142.2833675565,44
TRUE,54,female,23,10,11,46,3524.4900752909,90
FALSE,54,male,12,37,2,80,29268.8761122519,131
TRUE,54,male,38,31,36,137,8351.87953456537,242
FALSE,55,female,5,2,0,26,10847.279945243,33
TRUE,55,female,4,9,7,52,3136.37508555784,72
FALSE,55,male,19,40,4,69,25640.7556468173,132
TRUE,55,male,39,22,32,103,7190.62286105407,196
FALSE,56,female,7,4,1,25,9747.5318275154,37
TRUE,56,female,9,12,7,45,2823.81656399726,73
FALSE,56,male,18,32,2,70,22416.1451060917,122
TRUE,56,male,38,23,38,92,6214.83915126626,191
FALSE,57,female,3,3,1,27,8754.32443531827,34
TRUE,57,female,15,11,4,39,2512.61054072553,69
FALSE,57,male,15,29,0,66,19516.2080766598,110
TRUE,57,male,31,20,18,103,5367.92334017796,172
FALSE,58,female,2,7,0,34,7948.8514715948,43
TRUE,58,female,11,5,4,29,2270.91307323751,49
FALSE,58,male,15,20,0,65,17116.4572210815,100
TRUE,58,male,38,21,21,77,4649.25393566051,157
FALSE,59,female,7,5,1,27,7239.73990417522,40
TRUE,59,female,14,6,11,25,2069.76043805613,56
FALSE,59,male,10,18,0,56,15124.4353182752,84
TRUE,59,male,33,16,15,93,4072.98288843258,157
FALSE,60,female,6,7,0,30,6601.32511978097,43
TRUE,60,female,21,10,8,24,1869.93292265572,63
FALSE,60,male,14,24,2,52,13451.9123887748,92
TRUE,60,male,40,31,16,87,3595.15947980835,174
FALSE,61,female,8,6,1,27,6071.90691307324,42
TRUE,61,female,23,8,3,31,1675.56741957563,65
FALSE,61,male,25,26,1,41,11890.0232717317,93
TRUE,61,male,31,12,17,76,3118.82272416153,136
FALSE,62,female,6,5,0,23,5640.81314168378,34
TRUE,62,female,24,7,6,14,1530.01779603012,51
FALSE,62,male,15,31,0,64,10568.6707734428,110
TRUE,62,male,39,20,11,62,2736.87611225188,132
FALSE,63,female,5,4,0,32,5146.05338809035,41
TRUE,63,female,11,7,4,21,1421.80698151951,43
FALSE,63,male,21,20,0,66,9293.56878850103,107
TRUE,63,male,26,24,7,64,2385.14168377823,121
FALSE,64,female,10,8,0,17,4645.69199178645,35
TRUE,64,female,17,6,0,29,1345.21560574949,52
FALSE,64,male,16,18,0,46,8135.10472279261,80
TRUE,64,male,27,21,8,61,2088.56673511294,117
FALSE,65,female,5,6,0,15,4143.81382614647,26
TRUE,65,female,15,5,0,31,1173.05407255305,51
FALSE,65,male,15,25,1,52,6971.75359342916,93
TRUE,65,male,15,10,1,53,1740.14784394251,79
FALSE,66,female,3,2,0,24,3654.40109514031,29
TRUE,66,female,5,7,2,13,975.247091033539,27
FALSE,66,male,15,18,1,39,5909.81793292266,73
TRUE,66,male,13,7,0,27,1414.54346338125,47
FALSE,67,female,15,4,0,18,3149.18548939083,37
TRUE,67,female,12,3,2,15,816.613278576318,32
FALSE,67,male,15,14,0,42,4920.128678987,71
TRUE,67,male,9,8,1,25,1137.84257357974,43
FALSE,68,female,9,8,2,14,2666.09719370294,33
TRUE,68,female,10,4,0,3,669.702943189596,17
FALSE,68,male,5,10,0,35,4006.33538672142,50
TRUE,68,male,11,7,0,20,907.838466803559,38
FALSE,69,female,1,3,0,15,2206.86652977413,19
TRUE,69,female,7,8,0,7,541.549623545517,22
FALSE,69,male,13,10,1,25,3188.0848733744,49
TRUE,69,male,6,13,1,16,708.027378507871,36
FALSE,70,female,1,3,0,16,1825.44010951403,20
TRUE,70,female,5,2,1,13,436.843258042437,21
FALSE,70,male,7,20,0,27,2513.75770020534,54
TRUE,70,male,3,7,0,20,548.651608487337,30
FALSE,71,female,2,5,0,11,1492.16700889802,18
TRUE,71,female,2,2,0,5,367.603011635866,9
FALSE,71,male,5,11,0,22,1876.3832991102,38
TRUE,71,male,7,5,1,7,420.117727583847,20
FALSE,72,female,2,4,0,6,1200.0629705681,12
TRUE,72,female,4,1,0,5,281.864476386037,10
FALSE,72,male,7,2,0,20,1403.55920602327,29
TRUE,72,male,8,4,0,5,329.051334702259,17
FALSE,73,female,6,2,0,12,960.991101984942,20
TRUE,73,female,4,2,0,3,215.652292950034,9
FALSE,73,male,5,3,0,9,1082.29431895962,17
TRUE,73,male,1,6,0,5,252.229979466119,12
FALSE,74,female,2,1,0,6,748.717316906229,9
TRUE,74,female,3,0,0,4,159.619438740589,7
FALSE,74,male,2,8,0,12,831.78097193703,22
TRUE,74,male,2,4,0,9,177.308692676249,15
FALSE,75,female,0,5,0,7,560.399726214921,12
TRUE,75,female,1,1,0,2,126.209445585216,4
FALSE,75,male,6,6,0,10,620.758384668036,22
TRUE,75,male,2,1,0,5,129.749486652977,8
FALSE,76,female,1,2,0,11,419.572895277207,14
TRUE,76,female,0,0,0,3,91.7015742642026,3
FALSE,76,male,4,3,0,8,434.231348391513,15
TRUE,76,male,3,2,0,5,86.5215605749487,10
FALSE,77,female,1,1,0,4,318.184804928131,6
TRUE,77,female,0,0,0,1,64.9801505817933,1
FALSE,77,male,0,4,0,7,308.514715947981,11
TRUE,77,male,3,2,0,1,60.4188911704312,6
FALSE,78,female,2,2,0,4,239.206023271732,8
TRUE,78,female,2,0,0,1,51.7973990417522,3
FALSE,78,male,0,1,0,1,219.830253251198,2
TRUE,78,male,0,0,0,2,38.7898699520876,2
FALSE,79,female,0,3,0,1,177.815195071869,4
TRUE,79,female,0,0,0,4,39.6577686516085,4
FALSE,79,male,0,1,0,6,154.595482546201,7
TRUE,79,male,0,1,0,2,27.5920602327173,3
FALSE,80,female,4,2,0,14,358.737850787132,20
TRUE,80,female,0,2,0,1,74.6748802190281,3
FALSE,80,male,2,4,0,10,218.242299794661,16
TRUE,80,male,0,0,0,2,33.201916495551,2
