exposure,ag,gender,svd_smk,svd_cvd,svd_otc,svd_drd,svd_hep,svd_oth,fu,total
TRUE,43,female,8,2,7,31,3,43,9187.0006844627,94
FALSE,43,male,8,31,20,9,0,65,81904.309377139,133
TRUE,43,male,20,18,20,114,14,142,25290.2559890486,328
FALSE,44,female,1,4,24,3,0,10,28258.3107460643,42
TRUE,44,female,9,9,10,25,3,50,8639.5318275154,106
FALSE,44,male,6,29,23,5,2,73,78225.1526351814,138
TRUE,44,male,21,26,22,145,5,166,23884.4380561259,385
FALSE,45,female,8,3,13,0,0,15,26461.4647501711,39
TRUE,45,female,11,6,8,37,5,44,8117.20191649555,111
FALSE,45,male,9,24,28,4,0,71,73607.1485284052,136
TRUE,45,male,13,32,18,160,8,162,22189.7741273101,393
FALSE,46,female,2,5,8,2,0,14,24908.6269678303,31
TRUE,46,female,8,14,9,31,2,57,7553.08692676249,121
FALSE,46,male,2,36,26,11,0,76,68491.6714579055,151
TRUE,46,male,25,34,26,112,7,135,20547.5017111567,339
FALSE,47,female,2,3,10,3,0,13,23214.264202601,31
TRUE,47,female,13,11,20,34,2,35,6990.340862423,115
FALSE,47,male,9,34,35,3,0,77,62996.9144421629,158
TRUE,47,male,28,33,24,109,9,135,18831.1375770021,338
FALSE,48,female,2,2,13,1,0,10,21518.1711156742,28
TRUE,48,female,9,12,19,39,2,42,6466.85284052019,123
FALSE,48,male,8,37,28,3,2,65,57673.6290212183,143
TRUE,48,male,25,24,28,122,10,134,17204.3258042437,343
FALSE,49,female,2,5,16,1,0,12,19734.4120465435,36
TRUE,49,female,16,2,15,25,1,30,5937.41546885695,89
FALSE,49,male,17,32,37,3,3,62,52176.7173169062,154
TRUE,49,male,21,34,26,89,10,131,15515.6386036961,311
FALSE,50,female,6,7,21,1,0,14,18097.0896646133,49
TRUE,50,female,14,16,7,17,2,53,5447.37303216975,109
FALSE,50,male,8,31,34,4,1,63,47243.537303217,141
TRUE,50,male,22,36,38,78,23,104,13952.6598220397,301
FALSE,51,female,1,4,12,1,0,13,16572.5749486653,31
TRUE,51,female,12,12,15,23,3,35,4952.06844626968,100
FALSE,51,male,17,31,36,2,0,50,42563.3210130048,136
TRUE,51,male,52,26,24,81,15,98,12355.8631074606,296
FALSE,52,female,2,6,20,0,0,12,15047.9644079398,40
TRUE,52,female,18,4,12,27,0,27,4484.02737850787,88
FALSE,52,male,15,31,26,0,0,41,38022.5297741273,113
TRUE,52,male,41,33,26,59,8,106,10954.8720054757,273
FALSE,53,female,0,6,16,4,0,8,13576.205338809,34
TRUE,53,female,15,10,22,14,0,27,3979.87405886379,88
FALSE,53,male,15,22,28,1,0,54,33386.4750171116,120
TRUE,53,male,33,30,35,25,5,93,9574.63107460643,221
FALSE,54,female,8,4,15,1,0,16,12142.2833675565,44
TRUE,54,female,23,10,15,11,0,31,3524.4900752909,90
FALSE,54,male,12,37,31,2,0,49,29268.8761122519,131
TRUE,54,male,38,31,37,36,13,87,8351.87953456537,242
FALSE,55,female,5,2,17,0,0,9,10847.279945243,33
TRUE,55,female,4,9,23,7,4,25,3136.37508555784,72
FALSE,55,male,19,40,34,4,0,35,25640.7556468173,132
TRUE,55,male,39,22,31,32,10,62,7190.62286105407,196
FALSE,56,female,7,4,16,1,0,9,9747.5318275154,37
